Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Product by ID,5000,1,0,101,4.06,0.000%,139.10915,36.82,17.12,271.0
TOTAL,5000,1,0,101,4.06,0.000%,139.10915,36.82,17.12,271.0
